Cost 314
Edges 314
E 1200 978
E 1200 894
E 1200 837
E 1200 618
E 1200 124
E 1199 985
E 1199 807
E 1199 806
E 1199 607
E 1198 995
E 1198 988
E 1198 855
E 1198 672
E 1198 618
E 1197 996
E 1197 993
E 1197 947
E 1197 714
E 1197 607
E 1197 17
E 1196 994
E 1196 362
E 1196 214
E 1195 994
E 1195 878
E 1195 855
E 1195 737
E 1195 565
E 1194 124
E 1193 938
E 1193 214
E 1192 970
E 1192 909
E 1192 862
E 1192 565
E 1192 17
E 1191 993
E 1190 982
E 1190 714
E 1190 561
E 1189 985
E 1189 835
E 1188 962
E 1188 957
E 1188 888
E 1188 737
E 1187 971
E 1187 869
E 1187 835
E 1187 833
E 1186 981
E 1186 806
E 1185 948
E 1185 936
E 1185 878
E 1185 842
E 1184 955
E 1184 893
E 1184 737
E 1183 896
E 1183 862
E 1183 852
E 1182 988
E 1182 920
E 1182 784
E 1182 686
E 1181 999
E 1181 789
E 1181 686
E 1181 620
E 1180 989
E 1180 955
E 1180 930
E 1180 898
E 1179 975
E 1179 876
E 1179 782
E 1179 766
E 1179 672
E 1179 573
E 1179 502
E 1178 948
E 1178 883
E 1177 984
E 1177 362
E 1176 957
E 1176 904
E 1175 968
E 1175 925
E 1175 807
E 1174 573
E 1173 961
E 1173 789
E 1172 984
E 1171 996
E 1171 954
E 1171 943
E 1170 998
E 1170 958
E 1170 888
E 1170 879
E 1169 925
E 1169 916
E 1168 984
E 1167 927
E 1167 920
E 1167 914
E 1166 976
E 1166 969
E 1166 961
E 1165 998
E 1164 949
E 1164 947
E 1164 743
E 1164 622
E 1163 743
E 1162 954
E 1161 949
E 1161 912
E 1160 622
E 1159 502
E 1158 973
E 1158 942
E 1158 922
E 1158 561
E 1157 971
E 1156 983
E 1156 980
E 1156 961
E 1156 946
E 1156 829
E 1155 950
E 1155 925
E 1155 795
E 1154 912
E 1153 837
E 1152 949
E 1152 900
E 1151 973
E 1151 972
E 1151 952
E 1150 795
E 1149 893
E 1148 976
E 1147 980
E 1147 910
E 1146 997
E 1146 833
E 1145 876
E 1145 865
E 1144 924
E 1144 910
E 1144 830
E 1143 830
E 1142 994
E 1142 986
E 1141 980
E 1141 977
E 1140 996
E 1140 932
E 1139 979
E 1139 947
E 1138 979
E 1137 894
E 1136 946
E 1135 1000
E 1135 924
E 1134 862
E 1133 620
E 1132 958
E 1132 940
E 1131 942
E 1130 994
E 1129 920
E 1128 969
E 1127 977
E 1126 978
E 1126 953
E 1126 939
E 1125 996
E 1124 975
E 1123 993
E 1123 956
E 1122 995
E 1121 766
E 1120 956
E 1119 932
E 1118 993
E 1118 987
E 1117 936
E 1116 998
E 1115 930
E 1114 997
E 1114 990
E 1113 962
E 1113 959
E 1112 950
E 1111 883
E 1110 982
E 1109 976
E 1108 989
E 1107 969
E 1106 959
E 1105 997
E 1104 782
E 1103 997
E 1103 963
E 1102 998
E 1101 982
E 1100 938
E 1099 865
E 1098 879
E 1097 876
E 1096 924
E 1095 957
E 1094 993
E 1093 957
E 1092 994
E 1091 922
E 1090 896
E 1089 784
E 1088 953
E 1088 867
E 1087 975
E 1087 965
E 1086 995
E 1085 973
E 1084 909
E 1083 972
E 1082 986
E 1082 908
E 1081 993
E 1080 976
E 1079 979
E 1078 968
E 1077 985
E 1076 842
E 1075 995
E 1074 977
E 1073 908
E 1072 999
E 1071 995
E 1070 971
E 1069 981
E 1068 1000
E 1067 927
E 1066 999
E 1065 852
E 1064 968
E 1063 835
E 1062 983
E 1062 951
E 1061 972
E 1060 982
E 1059 993
E 1058 970
E 1058 860
E 1057 995
E 1056 946
E 1055 986
E 1054 994
E 1053 969
E 1052 968
E 1051 916
E 1050 996
E 1049 920
E 1048 986
E 1047 965
E 1046 952
E 1045 977
E 1044 958
E 1043 946
E 1042 940
E 1041 932
E 1040 862
E 1039 998
E 1038 951
E 1037 947
E 1036 949
E 1035 997
E 1034 829
E 1033 996
E 1032 900
E 1031 904
E 1030 860
E 1029 990
E 1028 968
E 1027 978
E 1026 982
E 1025 743
E 1024 898
E 1023 930
E 1022 983
E 1021 956
E 1020 984
E 1019 993
E 1018 943
E 1017 951
E 1016 983
E 1015 867
E 1014 963
E 1013 952
E 1012 975
E 1011 869
E 1010 1000
E 1009 939
E 1008 997
E 1007 982
E 1006 914
E 1005 993
E 1004 987
E 1003 975
E 1002 951
E 1001 970
