Cost 9494
Edges 94
E 550 433
E 550 145
E 550 105
E 549 224
E 548 388
E 548 84
E 547 366
E 547 342
E 547 320
E 547 137
E 547 122
E 547 83
E 546 277
E 545 452
E 545 83
E 544 320
E 544 228
E 544 224
E 544 207
E 544 160
E 544 119
E 543 307
E 543 272
E 542 277
E 542 76
E 541 379
E 541 160
E 540 384
E 540 366
E 540 282
E 540 274
E 540 103
E 540 84
E 539 307
E 539 119
E 538 207
E 538 76
E 537 467
E 537 336
E 537 228
E 536 257
E 536 181
E 535 470
E 535 122
E 534 398
E 534 137
E 534 85
E 533 477
E 533 384
E 533 312
E 533 281
E 532 103
E 531 336
E 530 181
E 530 69
E 529 105
E 529 85
E 529 69
E 528 264
E 528 109
E 527 75
E 526 475
E 526 274
E 525 474
E 525 272
E 524 281
E 523 282
E 523 109
E 522 470
E 522 182
E 521 366
E 521 75
E 520 475
E 519 366
E 518 480
E 518 145
E 517 480
E 516 145
E 515 257
E 514 342
E 513 264
E 512 182
E 511 474
E 510 433
E 509 312
E 508 366
E 507 398
E 506 379
E 505 477
E 504 452
E 504 395
E 503 395
E 502 388
E 501 467
