Cost 35008
Edges 297
E 1000 960
E 998 996
E 998 994
E 998 988
E 996 992
E 995 993
E 995 991
E 995 925
E 995 895
E 994 991
E 994 894
E 994 694
E 993 193
E 992 392
E 991 691
E 990 985
E 990 980
E 990 970
E 990 290
E 989 949
E 989 929
E 988 985
E 986 984
E 986 586
E 984 944
E 984 934
E 984 484
E 980 978
E 978 971
E 978 918
E 977 967
E 977 677
E 975 925
E 975 875
E 971 951
E 971 941
E 969 909
E 969 469
E 967 927
E 964 961
E 964 944
E 961 941
E 960 260
E 958 951
E 958 858
E 954 952
E 954 854
E 952 922
E 951 151
E 949 946
E 949 943
E 949 649
E 947 247
E 946 942
E 946 941
E 946 246
E 945 745
E 945 645
E 943 343
E 942 922
E 941 341
E 940 939
E 939 932
E 939 919
E 938 838
E 937 37
E 934 734
E 934 34
E 932 832
E 929 919
E 928 922
E 927 925
E 925 923
E 923 723
E 910 909
E 910 610
E 910 310
E 906 806
E 906 706
E 898 798
E 897 597
E 897 497
E 895 893
E 895 845
E 894 844
E 888 887
E 888 838
E 888 788
E 887 807
E 884 844
E 882 852
E 882 782
E 879 876
E 879 872
E 879 829
E 879 79
E 876 576
E 875 675
E 872 871
E 872 472
E 871 841
E 871 771
E 869 829
E 869 469
E 867 807
E 864 664
E 864 264
E 857 855
E 857 807
E 855 455
E 854 852
E 850 810
E 850 450
E 845 645
E 841 641
E 841 341
E 840 837
E 840 820
E 837 807
E 835 805
E 820 819
E 820 816
E 816 806
E 810 805
E 810 310
E 799 797
E 799 793
E 798 398
E 797 787
E 793 723
E 791 691
E 788 758
E 787 757
E 786 766
E 786 706
E 786 586
E 784 734
E 784 714
E 782 752
E 780 480
E 775 773
E 775 771
E 773 763
E 768 765
E 768 568
E 765 763
E 764 754
E 764 664
E 758 756
E 757 257
E 756 754
E 752 742
E 748 747
E 748 742
E 748 448
E 747 547
E 714 14
E 713 413
E 706 406
E 700 690
E 700 610
E 699 698
E 699 694
E 698 692
E 697 692
E 697 497
E 697 97
E 691 661
E 683 623
E 683 583
E 679 673
E 679 649
E 677 637
E 676 675
E 676 656
E 673 373
E 661 561
E 657 637
E 656 456
E 650 645
E 650 620
E 649 549
E 646 246
E 641 621
E 630 230
E 626 623
E 626 621
E 620 320
E 606 506
E 606 406
E 598 568
E 597 567
E 588 583
E 588 558
E 583 553
E 576 574
E 561 501
E 559 549
E 559 509
E 558 554
E 554 454
E 553 53
E 547 247
E 509 209
E 498 428
E 498 398
E 497 487
E 494 491
E 494 444
E 491 411
E 487 287
E 484 444
E 480 420
E 478 448
E 478 408
E 455 425
E 453 413
E 453 53
E 450 420
E 438 434
E 434 34
E 428 408
E 393 343
E 380 320
E 375 175
E 290 260
E 279 209
E 259 258
E 259 257
E 258 228
E 230 228
E 177 175
E 177 157
E 159 157
E 159 151
E 99 79
E 97 77
E 77 37
E 1000 997
E 1000 920
E 927 827
E 897 197
E 890 884
E 876 276
E 858 856
E 840 340
E 819 619
E 998 908
E 994 594
E 986 981
E 970 963
E 969 959
E 958 158
E 947 47
E 940 740
E 922 722
E 920 916
E 918 818
E 893 803
E 889 884
E 866 766
E 856 851
E 835 35
E 832 532
E 798 795
E 780 777
E 764 744
E 745 545
E 713 213
E 690 686
E 668 664
E 653 53
E 649 609
E 630 30
E 619 119
E 611 411
E 580 574
E 567 527
E 506 106
E 501 201
E 500 498
E 487 437
E 475 375
E 472 442
E 456 256
E 454 424
E 450 350
E 425 325
E 397 393
E 392 92
E 373 372
E 340 334
E 269 264
E 193 183
E 74 14
E 561 161
E 288 287
