Cost 256
Edges 180
E 729 728
E 729 726
E 729 723
E 729 720
E 729 711
E 729 702
E 729 675
E 728 725
E 728 722
E 728 719
E 728 710
E 728 701
E 728 674
E 728 566
E 726 724
E 726 717
E 726 708
E 726 699
E 726 564
E 725 716
E 725 707
E 725 698
E 724 721
E 724 715
E 724 706
E 724 697
E 724 670
E 724 643
E 723 714
E 723 705
E 723 669
E 723 642
E 722 713
E 722 695
E 722 668
E 721 712
E 721 703
E 721 694
E 721 559
E 720 718
E 720 666
E 719 692
E 719 665
E 718 709
E 718 691
E 718 637
E 717 690
E 716 662
E 715 661
E 714 660
E 713 686
E 713 632
E 712 469
E 712 226
E 711 684
E 710 683
E 710 629
E 710 548
E 709 682
E 709 655
E 708 681
E 708 546
E 707 680
E 707 653
E 706 679
E 706 652
E 705 678
E 705 651
E 703 676
E 703 649
E 703 541
E 702 700
E 700 673
E 699 618
E 697 616
E 697 535
E 695 677
E 694 451
E 691 529
E 690 609
E 686 524
E 681 600
E 679 598
E 678 597
E 678 516
E 677 650
E 676 433
E 675 594
E 674 593
E 673 592
E 670 508
E 669 507
E 668 587
E 666 504
E 665 503
E 662 500
E 653 572
E 651 489
E 650 569
E 649 487
E 629 575
E 616 607
E 487 1
E 433 352
E 729 727
E 726 672
E 725 644
E 723 480
E 722 704
E 720 234
E 719 638
E 717 663
E 716 473
E 715 688
E 715 634
E 715 553
E 714 687
E 714 552
E 712 658
E 711 630
E 710 656
E 708 654
E 706 220
E 702 540
E 701 215
E 698 212
E 695 209
E 694 613
E 692 611
E 684 441
E 683 440
E 682 439
E 680 518
E 676 595
E 674 431
E 668 506
E 661 580
E 660 579
E 655 493
E 652 166
E 651 165
E 643 400
E 642 399
E 637 394
E 632 146
E 629 143
E 618 375
E 609 366
E 609 123
E 607 526
E 600 114
E 598 112
E 597 111
E 594 108
E 593 350
E 592 106
E 587 101
E 575 332
E 572 329
E 569 326
E 566 323
E 564 78
E 559 73
E 548 62
E 546 303
E 541 298
E 535 292
E 529 43
E 524 281
E 516 30
E 508 265
E 507 264
E 504 261
E 503 17
E 500 14
E 489 3
E 469 415
E 451 370
E 352 109
E 226 172
