Cost 10518
Edges 104
E 125 127
E 121 123
E 120 128
E 118 120
E 113 121
E 112 128
E 109 110
E 105 121
E 103 104
E 101 102
E 101 109
E 98 114
E 93 95
E 85 93
E 75 76
E 70 102
E 66 82
E 62 126
E 61 62
E 52 56
E 51 55
E 39 55
E 37 101
E 26 28
E 26 58
E 22 30
E 17 25
E 16 80
E 14 78
E 6 14
E 4 68
E 3 7
E 3 35
E 3 67
E 1 65
E 125 126
E 115 116
E 113 117
E 110 126
E 102 118
E 101 117
E 98 106
E 91 123
E 81 82
E 79 80
E 79 95
E 77 93
E 73 75
E 72 80
E 72 104
E 71 87
E 66 98
E 60 64
E 55 56
E 49 113
E 40 104
E 39 103
E 38 40
E 38 54
E 37 39
E 35 51
E 34 42
E 33 41
E 30 62
E 29 93
E 27 28
E 25 26
E 21 22
E 17 49
E 11 75
E 1 33
E 105 106
E 97 113
E 95 96
E 85 86
E 73 77
E 69 70
E 68 84
E 67 99
E 66 68
E 65 73
E 59 60
E 57 121
E 42 44
E 42 106
E 36 40
E 36 100
E 27 31
E 20 28
E 18 20
E 13 29
E 10 26
E 6 22
E 116 124
E 107 108
E 100 108
E 82 90
E 69 71
E 57 59
E 19 51
E 99 115
E 39 47
E 20 24
E 14 46
