Cost 383
Edges 383
E 511 512
E 510 512
E 508 512
E 506 508
E 505 506
E 504 512
E 502 504
E 501 502
E 500 504
E 499 500
E 498 500
E 496 512
E 494 496
E 493 494
E 492 496
E 491 492
E 490 492
E 488 496
E 487 488
E 486 488
E 484 488
E 482 484
E 481 482
E 480 512
E 478 480
E 477 478
E 476 480
E 475 476
E 474 476
E 472 480
E 471 472
E 470 472
E 468 472
E 466 468
E 465 466
E 464 480
E 463 464
E 462 464
E 460 464
E 458 460
E 457 458
E 456 464
E 454 456
E 453 454
E 452 456
E 451 452
E 450 452
E 448 512
E 446 448
E 445 446
E 444 448
E 443 444
E 442 444
E 440 448
E 439 440
E 438 440
E 436 440
E 434 436
E 433 434
E 432 448
E 431 432
E 430 432
E 428 432
E 426 428
E 425 426
E 424 432
E 422 424
E 421 422
E 420 424
E 419 420
E 418 420
E 416 448
E 415 416
E 414 416
E 412 416
E 410 412
E 409 410
E 408 416
E 406 408
E 405 406
E 404 408
E 403 404
E 402 404
E 400 416
E 398 400
E 397 398
E 396 400
E 395 396
E 394 396
E 392 400
E 391 392
E 390 392
E 388 392
E 386 388
E 385 386
E 384 512
E 382 384
E 381 382
E 380 384
E 379 380
E 378 380
E 376 384
E 375 376
E 374 376
E 372 376
E 370 372
E 369 370
E 368 384
E 367 368
E 366 368
E 364 368
E 362 364
E 361 362
E 360 368
E 358 360
E 357 358
E 356 360
E 355 356
E 354 356
E 352 384
E 351 352
E 350 352
E 348 352
E 346 348
E 345 346
E 344 352
E 342 344
E 341 342
E 340 344
E 339 340
E 338 340
E 336 352
E 334 336
E 333 334
E 332 336
E 331 332
E 330 332
E 328 336
E 327 328
E 326 328
E 324 328
E 322 324
E 321 322
E 320 384
E 319 320
E 318 320
E 316 320
E 314 316
E 313 314
E 312 320
E 310 312
E 309 310
E 308 312
E 307 308
E 306 308
E 304 320
E 302 304
E 301 302
E 300 304
E 299 300
E 298 300
E 296 304
E 295 296
E 294 296
E 292 296
E 290 292
E 289 290
E 288 320
E 286 288
E 285 286
E 284 288
E 283 284
E 282 284
E 280 288
E 279 280
E 278 280
E 276 280
E 274 276
E 273 274
E 272 288
E 271 272
E 270 272
E 268 272
E 266 268
E 265 266
E 264 272
E 262 264
E 261 262
E 260 264
E 259 260
E 258 260
E 256 512
E 254 256
E 253 254
E 252 256
E 251 252
E 250 252
E 248 256
E 247 248
E 246 248
E 244 248
E 242 244
E 241 242
E 240 256
E 239 240
E 238 240
E 236 240
E 234 236
E 233 234
E 232 240
E 230 232
E 229 230
E 228 232
E 227 228
E 226 228
E 224 256
E 223 224
E 222 224
E 220 224
E 218 220
E 217 218
E 216 224
E 214 216
E 213 214
E 212 216
E 211 212
E 210 212
E 208 224
E 206 208
E 205 206
E 204 208
E 203 204
E 202 204
E 200 208
E 199 200
E 198 200
E 196 200
E 194 196
E 193 194
E 192 256
E 191 192
E 190 192
E 188 192
E 186 188
E 185 186
E 184 192
E 182 184
E 181 182
E 180 184
E 179 180
E 178 180
E 176 192
E 174 176
E 173 174
E 172 176
E 171 172
E 170 172
E 168 176
E 167 168
E 166 168
E 164 168
E 162 164
E 161 162
E 160 192
E 158 160
E 157 158
E 156 160
E 155 156
E 154 156
E 152 160
E 151 152
E 150 152
E 148 152
E 146 148
E 145 146
E 144 160
E 143 144
E 142 144
E 140 144
E 138 140
E 137 138
E 136 144
E 134 136
E 133 134
E 132 136
E 131 132
E 130 132
E 128 256
E 127 128
E 126 128
E 124 128
E 122 124
E 121 122
E 120 128
E 118 120
E 117 118
E 116 120
E 115 116
E 114 116
E 112 128
E 110 112
E 109 110
E 108 112
E 107 108
E 106 108
E 104 112
E 103 104
E 102 104
E 100 104
E 98 100
E 97 98
E 96 128
E 94 96
E 93 94
E 92 96
E 91 92
E 90 92
E 88 96
E 87 88
E 86 88
E 84 88
E 82 84
E 81 82
E 80 96
E 79 80
E 78 80
E 76 80
E 74 76
E 73 74
E 72 80
E 70 72
E 69 70
E 68 72
E 67 68
E 66 68
E 64 128
E 62 64
E 61 62
E 60 64
E 59 60
E 58 60
E 56 64
E 55 56
E 54 56
E 52 56
E 50 52
E 49 50
E 48 64
E 47 48
E 46 48
E 44 48
E 42 44
E 41 42
E 40 48
E 38 40
E 37 38
E 36 40
E 35 36
E 34 36
E 32 64
E 31 32
E 30 32
E 28 32
E 26 28
E 25 26
E 24 32
E 22 24
E 21 22
E 20 24
E 19 20
E 18 20
E 16 32
E 14 16
E 13 14
E 12 16
E 11 12
E 10 12
E 8 16
E 7 8
E 6 8
E 4 8
E 2 4
E 1 2
